Product Name,1 Kg,500 g,250 g,100 g,50 g,25 g,Category
COCONUT PASSION,6500,3250,1625,675,350,180,
COOL WATER MEN,5000,2500,1250,525,275,145,
COOL WATER WOMEN,5000,2500,1250,525,275,145,
CR 7,6250,3125,1563,650,338,175,
CRYSTAL NOIR,8000,4000,2000,825,425,220,
D&G DEVOTION,9250,4625,2313,950,488,250,
D&G LIGHT BLUE,4250,2125,1063,450,238,125,
D&G THE K,9250,4625,2313,950,488,250,
D&G THE ONE HG,5250,2625,1313,550,288,150,
DARBAR,4250,2125,1063,450,238,125,
DAREEJ,10000,5000,2500,1025,525,270,
DAREEJ HI,5750,2875,1438,600,313,160,
DEHNUL OUD ABYAD,18500,9250,4625,1875,950,480,
DEHNUL OUD ABYAD HH,13250,6625,3313,1350,688,350,
DEHNUL OUD GHALIB,8000,4000,2000,825,425,220,
DEHNUL OUD NA,53250,26625,13313,5350,2688,1350,
DEHNUL OUD PURE,2000000,1000000,500000,200025,100025,50020,
DEHNUL OUD18,24000,12000,6000,2425,1225,620,
DEHNUL OUD2,1600000,800000,400000,160025,80025,40020,
DEHNUL OUD3,1333250,666625,333313,133350,66688,33350,
DEHNUL OUD4,1066500,533250,266625,106675,53350,26680,
DELINA,16000,8000,4000,1625,825,420,
DELINA HH,9250,4625,2313,950,488,250,
DIRHAM,3500,1750,875,375,200,105,
DOVE,2250,1125,563,250,138,75,
DOVE HM,3500,1750,875,375,200,105,
DUBAI GOLD,8000,4000,2000,825,425,220,
DUNHILL DESIRE BLUE,6500,3250,1625,675,350,180,
DUNHILL DESIRE RED,7250,3625,1813,750,388,200,
DUNHILL ICON,8750,4375,2188,900,463,235,
DUNHILL ICON HI,6000,3000,1500,625,325,170,
DYLAN BLUE HH,5250,2625,1313,550,288,150,
DYLAN BLUE HI,4250,2125,1063,450,238,125,
EAU DE LACOSTE,6500,3250,1625,675,350,180,
ECLAIRS,5500,2750,1375,575,300,155,
ED HARDY,10500,5250,2625,1075,550,280,
EDEN APPLE,8000,4000,2000,825,425,220,
EDEN LYCHEE,9500,4750,2375,975,500,255,
EHSAS AL ARABIA,18500,9250,4625,1875,950,480,
ELIE SAAB LE PARFUM,6000,3000,1500,625,325,170,
ELIXIR,5250,2625,1313,550,288,150,
ENGLISH PEAR AND FREESIA,6500,3250,1625,675,350,180,
ENTELUDE,9250,4625,2313,950,488,250,
EPIC MEN,13250,6625,3313,1350,688,350,
ERAM,6500,3250,1625,675,350,180,
ERBA PURA HI,7250,3625,1813,750,388,200,
EUPHORIA,6500,3250,1625,675,350,180,
EXOTIC LEATHER,7500,3750,1875,775,400,205,
F FABULOUS,9250,4625,2313,950,488,250,
FAKHAR,9250,4625,2313,950,488,250,
FANCY BOUQUET,5250,2625,1313,550,288,150,
FANTASIA,7250,3625,1813,750,388,200,
FARHAN,5250,2625,1313,550,288,150,
FASLI GULAB,6500,3250,1625,675,350,180,
FAWAKEH,5500,2750,1375,575,300,155,
FERRARI BLACK,6250,3125,1563,650,338,175,
FERRARI OUD NOIR,5750,2875,1438,600,313,160,
FERRARI RED,5250,2625,1313,550,288,150,
FIRDAUS HI,4000,2000,1000,425,225,120,
FITRAT,7500,3750,1875,775,400,205,
FIZA,2750,1375,688,300,163,85,
FLORA BOUQUET,5250,2625,1313,550,288,150,
FRESH EVENINGS,8000,4000,2000,825,425,220,
FROZEN ROSE,16000,8000,4000,1625,825,420,
GIVENCHY BLUE,6500,3250,1625,675,350,180,
GLACIER MIST,10500,5250,2625,1075,550,280,
GOLDEN SAND,5250,2625,1313,550,288,150,
GOOD GIRL,5250,2625,1313,550,288,150,
GREEN AJMERI,11250,5625,2813,1150,588,300,
GREEN AJMERI HI,8000,4000,2000,825,425,220,
GREEN AJMERI STR,20000,10000,5000,2025,1025,520,
GREEN IRISH,12000,6000,3000,1225,625,320,
GREEN MUSK,16000,8000,4000,1625,825,420,
GREENLEY,6500,3250,1625,675,350,180,
GREENVICH VILLAGE,32000,16000,8000,3225,1625,820,
GREY VERTIVERT,5750,2875,1438,600,313,160,
GUCCI BAMBOO,7000,3500,1750,725,375,195,
GUCCI BLOOM,12000,6000,3000,1225,625,320,
GUCCI FLORA,6500,3250,1625,675,350,180,
GUCCI GUILTY,5250,2625,1313,550,288,150,
GUCCI GUILTY MEN,9250,4625,2313,950,488,250,
GUCCI GUILTY W HR,9250,4625,2313,950,488,250,
GUCCI INTENSE OUD,21250,10625,5313,2150,1088,550,
GUCCI INTENSE OUD NEW,10500,5250,2625,1075,550,280,
GUCCI OUD,8000,4000,2000,825,425,220,
GUCCI RUSH,7000,3500,1750,725,375,195,
GULAB ROOH,5250,2625,1313,550,288,150,
HACIVAT,8500,4250,2125,875,450,230,
HAJRE ASWAD,6750,3375,1688,700,363,185,
HATHKORA WOOD,32000,16000,8000,3225,1625,820,
HAVOC,4500,2250,1125,475,250,130,
HAWAS,8500,4250,2125,875,450,230,
HAWAS FIRE,8000,4000,2000,825,425,220,
HAWAS ICE HI,3500,1750,875,375,200,105,
HAWAS ICE HL,8000,4000,2000,825,425,220,
HERMES TERRE D'HARMES,6250,3125,1563,650,338,175,
HINA 360,5250,2625,1313,550,288,150,
HOMME INTENSE,8000,4000,2000,825,425,220,
HONEY TOBACCO,8000,4000,2000,825,425,220,
