Product Name,1 Kg,500 g,250 g,100 g,50 g,25 g,Category
CHANEL BLUE DE CHANEL,5250,2625,1313,550,288,150,Designer
CHANEL COCO CHANEL,4750,2375,1188,500,263,135,Designer
CHANEL NO.5 HH,7000,3500,1750,725,375,195,Designer
CHANEL NO.5 HI,5000,2500,1250,525,275,145,Designer
CHOCO MUSK,2000,1000,500,225,125,70,Designer
CHOCO MUSK HM,4250,2125,1063,450,238,125,Designer
CHOCO MUSK STRONG,2500,1250,625,275,150,80,Designer
CHOPARD BLACK INCENSE MALAKI,10500,5250,2625,1075,550,280,Designer
CHOPARD OUD MALIKI,10500,5250,2625,1075,550,280,Arabian
CK 1,4750,2375,1188,500,263,135,Designer
CLINIQUE HAPPY,8000,4000,2000,825,425,220,Designer
CLUB DE NUIT MAN,4750,2375,1188,500,263,135,Designer
CLUB DE NUIT WOMEN,5000,2500,1250,525,275,145,Designer
COCO CHOCOLATE,2250,1125,563,250,138,75,Designer
COCONUT PASSION,6500,3250,1625,675,350,180,Designer
COOL WATER MEN,5000,2500,1250,525,275,145,Designer
COOL WATER WOMEN,5000,2500,1250,525,275,145,Designer
CR 7,6250,3125,1563,650,338,175,Designer
CRYSTAL NOIR,8000,4000,2000,825,425,220,Designer
D&G DEVOTION,9250,4625,2313,950,488,250,Designer
D&G LIGHT BLUE,4250,2125,1063,450,238,125,Designer
D&G THE K,9250,4625,2313,950,488,250,Designer
D&G THE ONE HG,5250,2625,1313,550,288,150,Designer
DARBAR,4250,2125,1063,450,238,125,Designer
DAREEJ,10000,5000,2500,1025,525,270,Designer
DAREEJ HI,5750,2875,1438,600,313,160,Designer
DEHNUL OUD ABYAD,18500,9250,4625,1875,950,480,Arabian
DEHNUL OUD ABYAD HH,13250,6625,3313,1350,688,350,Arabian
DEHNUL OUD GHALIB,8000,4000,2000,825,425,220,Arabian
DEHNUL OUD NA,53250,26625,13313,5350,2688,1350,Arabian
DEHNUL OUD PURE,2000000,1000000,500000,200025,100025,50020,Arabian
DEHNUL OUD18,24000,12000,6000,2425,1225,620,Arabian
DEHNUL OUD2,1600000,800000,400000,160025,80025,40020,Arabian
DEHNUL OUD3,1333250,666625,333313,133350,66688,33350,Arabian
DEHNUL OUD4,1066500,533250,266625,106675,53350,26680,Arabian
DELINA,16000,8000,4000,1625,825,420,Designer
DELINA HH,9250,4625,2313,950,488,250,Designer
DIRHAM,3500,1750,875,375,200,105,Designer
DOVE,2250,1125,563,250,138,75,Designer
DOVE HM,3500,1750,875,375,200,105,Designer
DUBAI GOLD,8000,4000,2000,825,425,220,Designer
DUNHILL DESIRE BLUE,6500,3250,1625,675,350,180,Designer
DUNHILL DESIRE RED,7250,3625,1813,750,388,200,Designer
DUNHILL ICON,8750,4375,2188,900,463,235,Designer
DUNHILL ICON HI,6000,3000,1500,625,325,170,Designer
DYLAN BLUE HH,5250,2625,1313,550,288,150,Designer
DYLAN BLUE HI,4250,2125,1063,450,238,125,Designer
EAU DE LACOSTE,6500,3250,1625,675,350,180,Designer
ECLAIRS,5500,2750,1375,575,300,155,Designer
ED HARDY,10500,5250,2625,1075,550,280,Designer
EDEN APPLE,8000,4000,2000,825,425,220,Designer
EDEN LYCHEE,9500,4750,2375,975,500,255,Designer
EHSAS AL ARABIA,18500,9250,4625,1875,950,480,Designer
ELIE SAAB LE PARFUM,6000,3000,1500,625,325,170,Designer
ELIXIR,5250,2625,1313,550,288,150,Designer
ENGLISH PEAR AND FREESIA,6500,3250,1625,675,350,180,Designer
ENTELUDE,9250,4625,2313,950,488,250,Designer
EPIC MEN,13250,6625,3313,1350,688,350,Designer
ERAM,6500,3250,1625,675,350,180,Designer
ERBA PURA HI,7250,3625,1813,750,388,200,Designer
EUPHORIA,6500,3250,1625,675,350,180,Designer
EXOTIC LEATHER,7500,3750,1875,775,400,205,Designer
F FABULOUS,9250,4625,2313,950,488,250,Designer
FAKHAR,9250,4625,2313,950,488,250,Designer
FANCY BOUQUET,5250,2625,1313,550,288,150,Designer
FANTASIA,7250,3625,1813,750,388,200,Designer
FARHAN,5250,2625,1313,550,288,150,Designer
FASLI GULAB,6500,3250,1625,675,350,180,Indian
FAWAKEH,5500,2750,1375,575,300,155,Designer
FERRARI BLACK,6250,3125,1563,650,338,175,Designer
FERRARI OUD NOIR,5750,2875,1438,600,313,160,Arabian
FERRARI RED,5250,2625,1313,550,288,150,Designer
FIRDAUS HI,4000,2000,1000,425,225,120,Designer
FITRAT,7500,3750,1875,775,400,205,Designer
FIZA,2750,1375,688,300,163,85,Designer
FLORA BOUQUET,5250,2625,1313,550,288,150,Designer
FRESH EVENINGS,8000,4000,2000,825,425,220,Designer
FROZEN ROSE,16000,8000,4000,1625,825,420,Indian
GIVENCHY BLUE,6500,3250,1625,675,350,180,Designer
GLACIER MIST,10500,5250,2625,1075,550,280,Designer
GOLDEN SAND,5250,2625,1313,550,288,150,Designer
GOOD GIRL,5250,2625,1313,550,288,150,Designer
GREEN AJMERI,11250,5625,2813,1150,588,300,Designer
GREEN AJMERI HI,8000,4000,2000,825,425,220,Designer
GREEN AJMERI STR,20000,10000,5000,2025,1025,520,Designer
GREEN IRISH,12000,6000,3000,1225,625,320,Designer
GREEN MUSK,16000,8000,4000,1625,825,420,Designer
GREENLEY,6500,3250,1625,675,350,180,Designer
GREENVICH VILLAGE,32000,16000,8000,3225,1625,820,Designer
GREY VERTIVERT,5750,2875,1438,600,313,160,Designer
GUCCI BAMBOO,7000,3500,1750,725,375,195,Designer
GUCCI BLOOM,12000,6000,3000,1225,625,320,Designer
GUCCI FLORA,6500,3250,1625,675,350,180,Designer
GUCCI GUILTY,5250,2625,1313,550,288,150,Designer
GUCCI GUILTY MEN,9250,4625,2313,950,488,250,Designer
GUCCI GUILTY W HR,9250,4625,2313,950,488,250,Designer
GUCCI INTENSE OUD,21250,10625,5313,2150,1088,550,Arabian
GUCCI INTENSE OUD NEW,10500,5250,2625,1075,550,280,Arabian
GUCCI OUD,8000,4000,2000,825,425,220,Arabian
GUCCI RUSH,7000,3500,1750,725,375,195,Designer
GULAB ROOH,5250,2625,1313,550,288,150,Indian
HACIVAT,8500,4250,2125,875,450,230,Designer
HAJRE ASWAD,6750,3375,1688,700,363,185,Designer
HATHKORA WOOD,32000,16000,8000,3225,1625,820,Designer
HAVOC,4500,2250,1125,475,250,130,Designer
HAWAS,8500,4250,2125,875,450,230,Designer
HAWAS FIRE,8000,4000,2000,825,425,220,Designer
HAWAS ICE HI,3500,1750,875,375,200,105,Designer
HAWAS ICE HL,8000,4000,2000,825,425,220,Designer
HERMES TERRE D'HARMES,6250,3125,1563,650,338,175,Designer
HINA 360,5250,2625,1313,550,288,150,Indian
HOMME INTENSE,8000,4000,2000,825,425,220,Designer
HONEY TOBACCO,8000,4000,2000,825,425,220,Designer
HUDSON VALLEY HH,10500,5250,2625,1075,550,280,Designer
HUDSON VALLEY HL,11250,5625,2813,1150,588,300,Designer
HUGO BOSS,6250,3125,1563,650,338,175,Designer
HUGO MEN,7000,3500,1750,725,375,195,Designer
ICEBERG,3750,1875,938,400,213,110,Designer
IDYELLE,12000,6000,3000,1225,625,320,Designer
IGNITE OUD HD,10500,5250,2625,1075,550,280,Arabian
IMAGINATION HH,9250,4625,2313,950,488,250,Designer
IMAGINATION HL,11250,5625,2813,1150,588,300,Designer
IMITATION,9250,4625,2313,950,488,250,Designer
IMPERIAL VALLEY HH,8000,4000,2000,825,425,220,Designer
IMPERIAL VALLEY HL,11250,5625,2813,1150,588,300,Designer
INFINITY,8000,4000,2000,825,425,220,Designer
INSTANT CRUSH,12000,6000,3000,1225,625,320,Designer
INTOXICATED HG,12000,6000,3000,1225,625,320,Designer
INVICTUS,4000,2000,1000,425,225,120,Designer
INVICTUS AQUA,4250,2125,1063,450,238,125,Designer
INVICTUS LEGEND,10500,5250,2625,1075,550,280,Designer
INVICTUS SF,5250,2625,1313,550,288,150,Designer
INVICTUS VICTORY ELIXIR,10500,5250,2625,1075,550,280,Designer
IRRESISTIBLE,6500,3250,1625,675,350,180,Designer
ISSEY MIYAKE,6000,3000,1500,625,325,170,Designer
ISSEY NUIT,9250,4625,2313,950,488,250,Designer
JADORE,5750,2875,1438,600,313,160,Designer
JAGUAR BLACK,5000,2500,1250,525,275,145,Designer
JANNATE ZUHOOR,13250,6625,3313,1350,688,350,Designer
JANNATUL FIRDAUS,6000,3000,1500,625,325,170,Designer
JANNATUL FIRDAUS S,8000,4000,2000,825,425,220,Designer
JANNATUL FIRDAUS SUPER,16000,8000,4000,1625,825,420,Designer
JASMINE ABSOLUTE,5000,2500,1250,525,275,145,Designer
JASMINE SF,1750,875,438,200,113,60,Designer
JAZEERA,12000,6000,3000,1225,625,320,Designer
JAZZ ROLL ON,6500,3250,1625,675,350,180,Designer
JUBILATION,12000,6000,3000,1225,625,320,Designer
JUHI,4000,2000,1000,425,225,120,Designer
KAAF,21250,10625,5313,2150,1088,550,Arabian
KAAF HD,9250,4625,2313,950,488,250,Arabian
KALIMAT,12000,6000,3000,1225,625,320,Designer
KALIMAT OUD,20000,10000,5000,2025,1025,520,Arabian
KASHMIRI GULAB,4500,2250,1125,475,250,130,Indian
